System,Dataset,Training data fraction,Number of repets,Average MAPE,Average MAE,Average RMSE
batlik,corona.csv,0.7,30,0.12,0.18,0.26
batlik,cranium.csv,0.7,30,0.03,0.07,0.1
batlik,cubus.csv,0.7,30,0.04,0.24,0.33
batlik,flame.csv,0.7,30,0.03,0.06,0.08
batlik,france.csv,0.7,30,0.04,0.14,0.19
batlik,frisco.csv,0.7,30,0.05,0.25,0.33
batlik,jelly.csv,0.7,30,0.17,0.32,0.45
batlik,karte.csv,0.7,30,0.15,1.49,1.88
batlik,mandelbrot.csv,0.7,30,0.05,0.06,0.08
batlik,strawberry.csv,0.7,30,0.05,0.09,0.13
batlik,village.csv,0.7,30,0.57,1.81,2.47
dconvert,jpeg-large.csv,0.7,30,0.13,0.42,0.57
dconvert,jpeg-medium.csv,0.7,30,0.1,0.18,0.24
dconvert,jpeg-small.csv,0.7,30,0.04,0.02,0.02
dconvert,png-large.csv,0.7,30,0.09,0.22,0.28
dconvert,png-medium.csv,0.7,30,0.04,0.02,0.03
dconvert,png-small.csv,0.7,30,0.03,0.01,0.02
dconvert,psd-large.csv,0.7,30,0.01,0.53,0.87
dconvert,psd-medium.csv,0.7,30,0.05,0.07,0.09
dconvert,psd-small.csv,0.7,30,0.04,0.02,0.02
dconvert,svg-large.csv,0.7,30,0.02,0.03,0.04
dconvert,svg-medium.csv,0.7,30,0.02,0.03,0.03
dconvert,svg-small.csv,0.7,30,0.04,0.02,0.03
h2,smallbank-1.csv,0.7,30,0.06,1126.7,1357.42
h2,smallbank-10.csv,0.7,30,0.05,629.82,761.01
h2,tpcc-2.csv,0.7,30,0.04,30.55,37.73
h2,tpcc-8.csv,0.7,30,0.2,106.6,161.19
h2,voter-16.csv,0.7,30,0.08,2398.28,2660.26
h2,voter-2.csv,0.7,30,0.08,2512.77,2782.31
h2,ycsb-2400.csv,0.7,30,0.09,1278.78,1574.43
h2,ycsb-600.csv,0.7,30,0.08,1684.4,2077.44
jump3r,beethoven.wav.csv,0.7,30,0.26,2.25,2.89
