System,Dataset,Training fraction,Repeats,Average MAPE,Average MAE,Average RMSE
batlik,corona.csv,0.7,3,0.04,0.06,0.09
batlik,cranium.csv,0.7,3,0.04,0.10,0.14
batlik,cubus.csv,0.7,3,0.05,0.34,0.41
batlik,flame.csv,0.7,3,0.04,0.08,0.10
batlik,france.csv,0.7,3,0.04,0.16,0.22
batlik,frisco.csv,0.7,3,0.05,0.26,0.32
batlik,jelly.csv,0.7,3,0.03,0.05,0.08
batlik,karte.csv,0.7,3,0.03,0.33,0.47
batlik,mandelbrot.csv,0.7,3,0.02,0.03,0.04
batlik,strawberry.csv,0.7,3,0.04,0.08,0.10
batlik,village.csv,0.7,3,0.06,0.23,0.36
dconvert,jpeg-large.csv,0.7,3,0.04,0.14,0.26
dconvert,jpeg-medium.csv,0.7,3,0.03,0.06,0.09
dconvert,jpeg-small.csv,0.7,3,0.03,0.01,0.02
dconvert,png-large.csv,0.7,3,0.03,0.08,0.12
dconvert,png-medium.csv,0.7,3,0.03,0.02,0.02
dconvert,png-small.csv,0.7,3,0.03,0.01,0.02
dconvert,psd-large.csv,0.7,3,0.09,3.68,4.62
dconvert,psd-medium.csv,0.7,3,0.03,0.04,0.05
dconvert,psd-small.csv,0.7,3,0.04,0.02,0.03
dconvert,svg-large.csv,0.7,3,0.02,0.03,0.04
dconvert,svg-medium.csv,0.7,3,0.02,0.03,0.03
dconvert,svg-small.csv,0.7,3,0.03,0.01,0.02
h2,smallbank-1.csv,0.7,3,0.04,808.13,1009.27
h2,smallbank-10.csv,0.7,3,0.03,375.66,483.46
h2,tpcc-2.csv,0.7,3,0.03,21.83,28.37
h2,tpcc-8.csv,0.7,3,0.21,115.04,189.99
h2,voter-16.csv,0.7,3,0.03,562.57,1123.70
h2,voter-2.csv,0.7,3,0.03,843.37,1129.79
h2,ycsb-2400.csv,0.7,3,0.04,627.73,827.75
h2,ycsb-600.csv,0.7,3,0.05,960.67,1272.12
jump3r,beethoven.wav.csv,0.7,3,0.17,1.68,2.38
jump3r,dual-channel.wav.csv,0.7,3,0.16,0.46,0.65
jump3r,helix.wav.csv,0.7,3,0.17,0.85,1.23
jump3r,single-channel.wav.csv,0.7,3,0.14,0.25,0.35
jump3r,speech.wav.csv,0.7,3,0.14,0.64,0.88
jump3r,sweep.wav.csv,0.7,3,0.10,0.06,0.08
kanzi,ambivert.csv,0.7,3,1.03,14.31,28.63
kanzi,artificl.csv,0.7,3,0.35,0.17,0.32
kanzi,deepfield.csv,0.7,3,12.62,14.63,29.93
kanzi,enwik8.csv,0.7,3,1.50,29.83,62.24
kanzi,fannie_mae_500k.csv,0.7,3,2.35,27.29,38.18
kanzi,large.csv,0.7,3,0.05,0.15,0.28
kanzi,misc.csv,0.7,3,0.04,0.03,0.05
kanzi,silesia.csv,0.7,3,0.10,2.63,5.04
kanzi,vmlinux.csv,0.7,3,0.43,7.55,20.84
lrzip,ambivert.wav.tar.csv,0.7,3,1.49,15.16,25.55
lrzip,artificl.tar.csv,0.7,3,13.70,1.30,1.64
lrzip,deepfield.tar.csv,0.7,3,2.46,21.23,31.71
lrzip,enwik8.tar.csv,0.7,3,1.68,27.29,38.18
lrzip,fannie_mae_500k.tar.csv,0.7,3,0.18,7.56,10.47
lrzip,large.tar.csv,0.7,3,1.15,2.83,3.66
lrzip,misc.tar.csv,0.7,3,2.88,1.41,1.75
lrzip,silesia.tar.csv,0.7,3,1.93,45.74,63.70
lrzip,uiq-32.bin.csv,0.7,3,3.29,77.64,109.92
lrzip,uiq2-16.bin.csv,0.7,3,3.12,43.72,61.55
lrzip,uiq2-4.bin.csv,0.7,3,1.80,10.38,15.08
lrzip,uiq2-8.bin.csv,0.7,3,2.35,20.47,29.10
lrzip,vmlinux-5.10.tar.csv,0.7,3,1.16,6.53,9.35
x264,blue_sky_1080p25_short.y4m.csv,0.7,3,0.12,1.13,2.43
x264,Johnny_1280x720_60_short.y4m.csv,0.7,3,0.13,0.93,2.01
x264,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m.csv,0.7,3,0.12,3.15,6.74
x264,pedestrian_area_1080p25_short.y4m.csv,0.7,3,0.12,1.33,2.84
x264,riverbed_1080p25_short.y4m.csv,0.7,3,0.13,2.59,5.51
x264,sd_bridge_close_cif_short.y4m.csv,0.7,3,0.09,0.05,0.10
x264,sd_city_4cif_short.y4m.csv,0.7,3,0.13,0.53,1.17
x264,sd_crew_cif_short.y4m.csv,0.7,3,0.11,0.09,0.19
x264,sintel_trailer_2k_720p24_short.y4m.csv,0.7,3,0.10,0.14,0.30
xz,ambivert.wav.tar.csv,0.7,3,0.02,0.54,1.31
xz,artificl.tar.csv,0.7,3,0.31,0.01,0.01
xz,deepfield.tar.csv,0.7,3,0.03,0.38,0.73
xz,enwik8.tar.csv,0.7,3,0.07,8.87,30.96
xz,fannie_mae_500k.tar.csv,0.7,3,0.02,0.94,1.71
