System,Dataset,Training Fraction,Repeats,Average MAPE,Average MAE,Average RMSE
batlik,corona.csv,0.7,30,0.04,0.06,0.08
batlik,cranium.csv,0.7,30,0.02,0.05,0.06
batlik,cubus.csv,0.7,30,0.02,0.11,0.15
batlik,flame.csv,0.7,30,0.02,0.04,0.05
batlik,france.csv,0.7,30,0.02,0.09,0.11
batlik,frisco.csv,0.7,30,0.03,0.14,0.18
batlik,jelly.csv,0.7,30,0.03,0.05,0.08
batlik,karte.csv,0.7,30,0.02,0.27,0.36
batlik,mandelbrot.csv,0.7,30,0.02,0.03,0.03
batlik,strawberry.csv,0.7,30,0.02,0.04,0.05
batlik,village.csv,0.7,30,0.03,0.12,0.27
dconvert,jpeg-large.csv,0.7,30,0.03,0.09,0.12
dconvert,jpeg-medium.csv,0.7,30,0.02,0.04,0.06
dconvert,jpeg-small.csv,0.7,30,0.03,0.01,0.02
dconvert,png-large.csv,0.7,30,0.03,0.06,0.08
dconvert,png-medium.csv,0.7,30,0.02,0.02,0.02
dconvert,png-small.csv,0.7,30,0.03,0.01,0.02
dconvert,psd-large.csv,0.7,30,0.01,0.41,0.91
dconvert,psd-medium.csv,0.7,30,0.02,0.03,0.04
dconvert,psd-small.csv,0.7,30,0.03,0.02,0.02
dconvert,svg-large.csv,0.7,30,0.02,0.03,0.04
dconvert,svg-medium.csv,0.7,30,0.02,0.03,0.03
dconvert,svg-small.csv,0.7,30,0.02,0.01,0.02
h2,smallbank-1.csv,0.7,30,0.1,2167.67,2951.39
h2,smallbank-10.csv,0.7,30,0.1,1511.87,2182.74
h2,tpcc-2.csv,0.7,30,0.03,22.29,28.7
h2,tpcc-8.csv,0.7,30,0.19,103.27,162.81
h2,voter-16.csv,0.7,30,0.15,5476.22,8192.8
h2,voter-2.csv,0.7,30,0.14,5532.87,8373.88
h2,ycsb-2400.csv,0.7,30,0.09,1356.33,1976.46
h2,ycsb-600.csv,0.7,30,0.12,2281.79,2961.32
jump3r,beethoven.wav.csv,0.7,30,0.16,1.64,2.48
jump3r,dual-channel.wav.csv,0.7,30,0.17,0.49,0.72
jump3r,helix.wav.csv,0.7,30,0.17,0.87,1.39
jump3r,single-channel.wav.csv,0.7,30,0.15,0.28,0.39
jump3r,speech.wav.csv,0.7,30,0.13,0.6,0.89
jump3r,sweep.wav.csv,0.7,30,0.09,0.06,0.08
kanzi,ambivert.csv,0.7,30,0.67,13.34,29.37
kanzi,artificl.csv,0.7,30,0.42,0.18,0.3
kanzi,deepfield.csv,0.7,30,3.26,13.39,30.42
kanzi,enwik8.csv,0.7,30,0.75,28.53,71.79
kanzi,fannie_mae_500k.csv,0.7,30,0.92,24.17,63.15
kanzi,large.csv,0.7,30,0.79,3.21,7.03
kanzi,misc.csv,0.7,30,0.33,0.32,0.61
kanzi,silesia.csv,0.7,30,0.64,59.41,154.64
kanzi,vmlinux.csv,0.7,30,1.47,106.28,283.71
lrzip,ambivert.wav.tar.csv,0.7,30,0.48,9.28,22.24
lrzip,artificl.tar.csv,0.7,30,12.34,1.15,1.49
lrzip,deepfield.tar.csv,0.7,30,0.49,9.23,21.62
lrzip,enwik8.tar.csv,0.7,30,0.37,12.82,27.45
lrzip,fannie_mae_500k.tar.csv,0.7,30,0.09,4.09,7.4
lrzip,large.tar.csv,0.7,30,0.91,2.05,2.87
lrzip,misc.tar.csv,0.7,30,2.44,1.21,1.52
lrzip,silesia.tar.csv,0.7,30,0.39,21.34,46.48
lrzip,uiq-32.bin.csv,0.7,30,0.48,34.73,77.91
lrzip,uiq2-16.bin.csv,0.7,30,0.49,18.99,42.38
lrzip,uiq2-4.bin.csv,0.7,30,0.58,5.08,10.43
lrzip,uiq2-8.bin.csv,0.7,30,0.49,9.87,21.4
lrzip,vmlinux-5.10.tar.csv,0.7,30,0.5,3.6,6.6
x264,blue_sky_1080p25_short.y4m.csv,0.7,30,0.19,1.37,2.71
x264,Johnny_1280x720_60_short.y4m.csv,0.7,30,0.22,1.14,2.25
x264,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m.csv,0.7,30,0.17,4.3,8.5
x264,pedestrian_area_1080p25_short.y4m.csv,0.7,30,0.18,1.58,3.12
x264,riverbed_1080p25_short.y4m.csv,0.7,30,0.17,3.23,6.23
x264,sd_bridge_close_cif_short.y4m.csv,0.7,30,0.18,0.07,0.12
x264,sd_city_4cif_short.y4m.csv,0.7,30,0.23,0.65,1.25
x264,sd_crew_cif_short.y4m.csv,0.7,30,0.25,0.13,0.22
x264,sintel_trailer_2k_720p24_short.y4m.csv,0.7,30,0.19,0.19,0.34
xz,ambivert.wav.tar.csv,0.7,30,0.3,3.8,8.9
xz,artificl.tar.csv,0.7,30,0.3,0.01,0.01
xz,deepfield.tar.csv,0.7,30,0.17,2,5.72
xz,enwik8.tar.csv,0.7,30,0.44,46.49,113.81
xz,fannie_mae_500k.tar.csv,0.7,30,0.21,16.29,33.16
xz,large.tar.csv,0.7,30,0.12,0.53,0.95
xz,misc.tar.csv,0.7,30,0.12,0.05,0.08
xz,silesia.tar.csv,0.7,30,0.27,40.55,90.07
xz,uiq-32.bin.csv,0.7,30,0.43,56.9,111.85
xz,uiq2-16.bin.csv,0.7,30,0.37,18.55,39.18
xz,uiq2-4.bin.csv,0.7,30,0.16,1.61,4.49
xz,uiq2-8.bin.csv,0.7,30,0.25,5.57,13.9
xz,vmlinux-5.10.tar.csv,0.7,30,0.07,0.53,0.98
z3,AUFNIRA_z3.637557.smt2.csv,0.7,30,0.98,74.46,140.15
z3,LRA_formula_277.smt2.csv,0.7,30,0.02,0.04,0.06
z3,QF_AUFBV_891_sqlite3.smt2.csv,0.7,30,1.33,3.6,9.14
z3,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2.csv,0.7,30,0.03,0.17,0.22
z3,QF_BV_bench_3176.smt2.csv,0.7,30,0.92,114.78,234.37
z3,QF_BV_bench_935.smt2.csv,0.7,30,1.57,75.79,144.66
z3,QF_LIA_tightrhombus.csv,0.7,30,0.1,0.11,0.13
z3,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2.csv,0.7,30,0.01,0.12,0.15
z3,QF_NRA_hong_9.smt2.csv,0.7,30,0.01,0.03,0.05
z3,QF_RDL_orb08_888.smt2.csv,0.7,30,0.01,0.09,0.11
