System,Dataset,Training fraction,Repeats,Average MAPE,Average MAE,Average RMSE
batlik,corona.csv,0.7,30,0.12,0.20,0.36
batlik,cranium.csv,0.7,30,0.15,0.36,0.58
batlik,cubus.csv,0.7,30,0.14,0.82,0.93
batlik,flame.csv,0.7,30,0.20,0.33,0.36
batlik,france.csv,0.7,30,0.12,0.59,1.07
batlik,frisco.csv,0.7,30,0.14,0.67,0.86
batlik,jelly.csv,0.7,30,0.15,0.34,0.66
batlik,karte.csv,0.7,30,0.12,1.22,2.47
batlik,mandelbrot.csv,0.7,30,0.07,0.09,0.12
batlik,strawberry.csv,0.7,30,0.13,0.22,0.29
batlik,village.csv,0.7,30,0.22,1.54,3.87
dconvert,jpeg-large.csv,0.7,30,0.13,0.44,0.78
dconvert,jpeg-medium.csv,0.7,30,0.08,0.16,0.29
dconvert,jpeg-small.csv,0.7,30,0.08,0.03,0.04
dconvert,png-large.csv,0.7,30,0.08,0.21,0.34
dconvert,png-medium.csv,0.7,30,0.06,0.04,0.05
dconvert,png-small.csv,0.7,30,0.08,0.03,0.04
dconvert,psd-large.csv,0.7,30,0.39,10.86,13.05
dconvert,psd-medium.csv,0.7,30,0.05,0.06,0.09
dconvert,psd-small.csv,0.7,30,0.06,0.03,0.04
dconvert,svg-large.csv,0.7,30,0.03,0.04,0.05
dconvert,svg-medium.csv,0.7,30,0.02,0.03,0.04
dconvert,svg-small.csv,0.7,30,0.08,0.05,0.05
h2,smallbank-1.csv,0.7,30,0.11,2337.72,3221.53
h2,smallbank-10.csv,0.7,30,0.12,1796.58,2562.82
h2,tpcc-2.csv,0.7,30,0.06,43.30,58.89
h2,tpcc-8.csv,0.7,30,0.18,113.30,174.60
h2,voter-16.csv,0.7,30,0.15,5776.95,8536.62
h2,voter-2.csv,0.7,30,0.15,5849.09,8744.13
h2,ycsb-2400.csv,0.7,30,0.10,1461.60,2101.42
h2,ycsb-600.csv,0.7,30,0.13,2504.51,3188.37
jump3r,beethoven.wav.csv,0.7,30,0.28,2.58,3.56
jump3r,dual-channel.wav.csv,0.7,30,0.27,0.75,1.05
jump3r,helix.wav.csv,0.7,30,0.29,1.34,1.93
jump3r,single-channel.wav.csv,0.7,30,0.21,0.37,0.51
