System,Dataset,Training Fraction,Repeats,Average MAPE,Average MAE,Average RMSE
batlik,corona.csv,0.7,30,0.03,0.05,0.06
batlik,cranium.csv,0.7,30,0.02,0.04,0.05
batlik,cubus.csv,0.7,30,0.02,0.11,0.14
batlik,flame.csv,0.7,30,0.02,0.03,0.04
batlik,france.csv,0.7,30,0.02,0.07,0.09
batlik,frisco.csv,0.7,30,0.03,0.13,0.17
batlik,jelly.csv,0.7,30,0.02,0.04,0.07
batlik,karte.csv,0.7,30,0.02,0.24,0.32
batlik,mandelbrot.csv,0.7,30,0.02,0.02,0.03
batlik,strawberry.csv,0.7,30,0.02,0.03,0.04
batlik,village.csv,0.7,30,0.02,0.1,0.25
dconvert,jpeg-large.csv,0.7,30,0.03,0.1,0.13
dconvert,jpeg-medium.csv,0.7,30,0.02,0.04,0.05
dconvert,jpeg-small.csv,0.7,30,0.03,0.01,0.02
dconvert,png-large.csv,0.7,30,0.02,0.06,0.08
dconvert,png-medium.csv,0.7,30,0.02,0.02,0.02
dconvert,png-small.csv,0.7,30,0.03,0.01,0.02
dconvert,psd-large.csv,0.7,30,0.01,0.54,0.88
dconvert,psd-medium.csv,0.7,30,0.02,0.03,0.04
dconvert,psd-small.csv,0.7,30,0.03,0.02,0.02
dconvert,svg-large.csv,0.7,30,0.02,0.03,0.04
dconvert,svg-medium.csv,0.7,30,0.02,0.03,0.03
dconvert,svg-small.csv,0.7,30,0.02,0.01,0.02
h2,smallbank-1.csv,0.7,30,0.04,707.91,917.54
h2,smallbank-10.csv,0.7,30,0.02,283.41,388.71
h2,tpcc-2.csv,0.7,30,0.03,20.01,25.11
h2,tpcc-8.csv,0.7,30,0.2,107.18,164.2
h2,voter-16.csv,0.7,30,0.02,539.39,728.31
h2,voter-2.csv,0.7,30,0.02,523.03,727.83
h2,ycsb-2400.csv,0.7,30,0.04,567.51,716.68
h2,ycsb-600.csv,0.7,30,0.03,706.97,934.28
jump3r,beethoven.wav.csv,0.7,30,0.17,1.65,2.29
jump3r,dual-channel.wav.csv,0.7,30,0.16,0.46,0.64
jump3r,helix.wav.csv,0.7,30,0.17,0.85,1.28
jump3r,single-channel.wav.csv,0.7,30,0.14,0.26,0.35
jump3r,speech.wav.csv,0.7,30,0.14,0.62,0.84
jump3r,sweep.wav.csv,0.7,30,0.09,0.05,0.07
kanzi,ambivert.csv,0.7,30,0.9,4.76,7.14
kanzi,artificl.csv,0.7,30,0.15,0.05,0.08
kanzi,deepfield.csv,0.7,30,3.82,4.82,7.25
kanzi,enwik8.csv,0.7,30,1.45,10.41,15.71
kanzi,fannie_mae_500k.csv,0.7,30,1.81,8.84,13.22
kanzi,large.csv,0.7,30,0.64,1.14,1.72
kanzi,misc.csv,0.7,30,0.17,0.1,0.15
kanzi,silesia.csv,0.7,30,1.57,21.4,32.17
kanzi,vmlinux.csv,0.7,30,9.12,42.73,57.8
lrzip,ambivert.wav.tar.csv,0.7,30,1.81,14.86,22.64
lrzip,artificl.tar.csv,0.7,30,13.38,1.25,1.36
lrzip,deepfield.tar.csv,0.7,30,1.78,14.48,21.89
lrzip,enwik8.tar.csv,0.7,30,1.23,19.64,27.25
lrzip,fannie_mae_500k.tar.csv,0.7,30,0.12,5.28,7.44
lrzip,large.tar.csv,0.7,30,1.03,2.23,2.94
lrzip,misc.tar.csv,0.7,30,2.68,1.26,1.4
lrzip,silesia.tar.csv,0.7,30,1.44,33.2,46.12
lrzip,uiq-32.bin.csv,0.7,30,2.4,55.59,76.12
lrzip,uiq2-16.bin.csv,0.7,30,2.12,30.42,42.35
lrzip,uiq2-4.bin.csv,0.7,30,1.37,7.2,10.56
lrzip,uiq2-8.bin.csv,0.7,30,1.69,15.05,21.28
lrzip,vmlinux-5.10.tar.csv,0.7,30,0.85,4.65,6.7
x264,blue_sky_1080p25_short.y4m.csv,0.7,30,0.18,1.34,2.61
x264,Johnny_1280x720_60_short.y4m.csv,0.7,30,0.2,1.1,2.17
x264,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m.csv,0.7,30,0.18,3.69,7.17
x264,pedestrian_area_1080p25_short.y4m.csv,0.7,30,0.17,1.56,3.03
x264,riverbed_1080p25_short.y4m.csv,0.7,30,0.18,3.02,5.82
x264,sd_bridge_close_cif_short.y4m.csv,0.7,30,0.12,0.06,0.11
x264,sd_city_4cif_short.y4m.csv,0.7,30,0.19,0.62,1.22
x264,sd_crew_cif_short.y4m.csv,0.7,30,0.15,0.1,0.2
x264,sintel_trailer_2k_720p24_short.y4m.csv,0.7,30,0.13,0.16,0.32
xz,ambivert.wav.tar.csv,0.7,30,0.15,1.54,2.57
xz,artificl.tar.csv,0.7,30,0.29,0.01,0.01
xz,deepfield.tar.csv,0.7,30,0.1,0.96,1.53
xz,enwik8.tar.csv,0.7,30,0.38,16.98,35.39
xz,fannie_mae_500k.tar.csv,0.7,30,0.15,4.49,6.25
xz,large.tar.csv,0.7,30,0.07,0.28,0.39
xz,misc.tar.csv,0.7,30,0.07,0.03,0.05
xz,silesia.tar.csv,0.7,30,0.13,8.55,12.87
xz,uiq-32.bin.csv,0.7,30,0.2,16.11,32.35
xz,uiq2-16.bin.csv,0.7,30,0.19,7.7,17.16
xz,uiq2-4.bin.csv,0.7,30,0.11,0.78,1.18
xz,uiq2-8.bin.csv,0.7,30,0.17,3.2,6.98
xz,vmlinux-5.10.tar.csv,0.7,30,0.04,0.27,0.38
z3,AUFNIRA_z3.637557.smt2.csv,0.7,30,0.73,9.41,10.11
z3,LRA_formula_277.smt2.csv,0.7,30,0,0.01,0.02
z3,QF_AUFBV_891_sqlite3.smt2.csv,0.7,30,0.99,2.24,3.02
z3,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2.csv,0.7,30,0.03,0.2,0.23
z3,QF_BV_bench_3176.smt2.csv,0.7,30,1.16,13.58,16.29
z3,QF_BV_bench_935.smt2.csv,0.7,30,0.86,4.74,5.87
z3,QF_LIA_tightrhombus.csv,0.7,30,0.02,0.03,0.04
z3,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2.csv,0.7,30,0.01,0.09,0.1
z3,QF_NRA_hong_9.smt2.csv,0.7,30,0,0.01,0.02
z3,QF_RDL_orb08_888.smt2.csv,0.7,30,0.01,0.05,0.07
z3,QF_UFLIA_xs_23_43.smt2.csv,0.7,30,0.05,1.05,1.28
z3,QF_UF_PEQ018_size6.smt2.csv,0.7,30,2.38,30.31,31.93
