System,Dataset,Training fraction,Repeats,Average MAPE,Average MAE,Average RMSE
batlik,corona.csv,0.7,30,0.03,0.05,0.06
batlik,cranium.csv,0.7,30,0.02,0.04,0.05
batlik,cubus.csv,0.7,30,0.02,0.11,0.14
batlik,flame.csv,0.7,30,0.02,0.03,0.04
batlik,france.csv,0.7,30,0.02,0.08,0.10
batlik,frisco.csv,0.7,30,0.03,0.15,0.19
batlik,jelly.csv,0.7,30,0.02,0.04,0.07
batlik,karte.csv,0.7,30,0.02,0.23,0.31
batlik,mandelbrot.csv,0.7,30,0.02,0.03,0.03
batlik,strawberry.csv,0.7,30,0.02,0.04,0.05
batlik,village.csv,0.7,30,0.02,0.11,0.30
dconvert,jpeg-large.csv,0.7,30,0.02,0.08,0.12
dconvert,jpeg-medium.csv,0.7,30,0.02,0.04,0.05
dconvert,jpeg-small.csv,0.7,30,0.03,0.01,0.02
dconvert,png-large.csv,0.7,30,0.02,0.06,0.07
dconvert,png-medium.csv,0.7,30,0.02,0.02,0.02
dconvert,png-small.csv,0.7,30,0.03,0.01,0.02
dconvert,psd-large.csv,0.7,30,0.01,0.54,0.90
dconvert,psd-medium.csv,0.7,30,0.02,0.03,0.04
dconvert,psd-small.csv,0.7,30,0.03,0.02,0.02
dconvert,svg-large.csv,0.7,30,0.02,0.03,0.04
dconvert,svg-medium.csv,0.7,30,0.02,0.03,0.03
dconvert,svg-small.csv,0.7,30,0.02,0.01,0.02
h2,smallbank-1.csv,0.7,30,0.04,738.34,964.12
h2,smallbank-10.csv,0.7,30,0.02,297.03,406.41
h2,tpcc-2.csv,0.7,30,0.03,20.78,26.34
h2,tpcc-8.csv,0.7,30,0.21,114.08,188.61
h2,voter-16.csv,0.7,30,0.02,575.34,776.67
h2,voter-2.csv,0.7,30,0.02,555.43,776.14
h2,ycsb-2400.csv,0.7,30,0.04,576.45,733.27
h2,ycsb-600.csv,0.7,30,0.04,733.35,974.79
jump3r,beethoven.wav.csv,0.7,30,0.16,1.60,2.30
jump3r,dual-channel.wav.csv,0.7,30,0.15,0.44,0.63
jump3r,helix.wav.csv,0.7,30,0.16,0.83,1.29
jump3r,single-channel.wav.csv,0.7,30,0.14,0.25,0.35
jump3r,speech.wav.csv,0.7,30,0.14,0.62,0.84
jump3r,sweep.wav.csv,0.7,30,0.09,0.06,0.07
kanzi,ambivert.csv,0.7,30,0.10,0.97,1.90
kanzi,artificl.csv,0.7,30,0.04,0.02,0.04
kanzi,deepfield.csv,0.7,30,0.29,0.86,1.89
kanzi,enwik8.csv,0.7,30,0.09,1.52,3.53
kanzi,fannie_mae_500k.csv,0.7,30,0.09,1.03,2.74
kanzi,large.csv,0.7,30,0.05,0.17,0.36
kanzi,misc.csv,0.7,30,0.04,0.03,0.06
kanzi,silesia.csv,0.7,30,0.10,2.85,6.51
kanzi,vmlinux.csv,0.7,30,0.44,7.75,21.02
lrzip,ambivert.wav.tar.csv,0.7,30,2.91,21.71,31.78
lrzip,artificl.tar.csv,0.7,30,13.46,1.22,1.58
lrzip,deepfield.tar.csv,0.7,30,2.80,20.92,30.34
lrzip,enwik8.tar.csv,0.7,30,1.92,27.62,38.06
lrzip,fannie_mae_500k.tar.csv,0.7,30,0.19,7.60,10.29
lrzip,large.tar.csv,0.7,30,1.28,3.01,3.91
lrzip,misc.tar.csv,0.7,30,2.78,1.31,1.66
lrzip,silesia.tar.csv,0.7,30,2.26,46.67,63.87
lrzip,uiq-32.bin.csv,0.7,30,3.60,75.22,104.60
lrzip,uiq2-16.bin.csv,0.7,30,3.41,43.38,60.08
lrzip,uiq2-4.bin.csv,0.7,30,2.09,10.40,14.80
lrzip,uiq2-8.bin.csv,0.7,30,2.64,21.34,29.59
lrzip,vmlinux-5.10.tar.csv,0.7,30,1.26,6.74,9.33
x264,blue_sky_1080p25_short.y4m.csv,0.7,30,0.13,1.16,2.54
x264,Johnny_1280x720_60_short.y4m.csv,0.7,30,0.14,0.95,2.10
x264,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m.csv,0.7,30,0.13,3.20,6.97
x264,pedestrian_area_1080p25_short.y4m.csv,0.7,30,0.13,1.35,2.95
x264,riverbed_1080p25_short.y4m.csv,0.7,30,0.13,2.63,5.69
x264,sd_bridge_close_cif_short.y4m.csv,0.7,30,0.09,0.05,0.11
x264,sd_city_4cif_short.y4m.csv,0.7,30,0.13,0.55,1.20
x264,sd_crew_cif_short.y4m.csv,0.7,30,0.11,0.09,0.21
x264,sintel_trailer_2k_720p24_short.y4m.csv,0.7,30,0.10,0.15,0.31
xz,ambivert.wav.tar.csv,0.7,30,0.03,0.59,1.45
xz,artificl.tar.csv,0.7,30,0.30,0.01,0.01
xz,deepfield.tar.csv,0.7,30,0.03,0.37,0.69
xz,enwik8.tar.csv,0.7,30,0.12,10.96,34.97
xz,fannie_mae_500k.tar.csv,0.7,30,0.02,0.95,1.76
xz,large.tar.csv,0.7,30,0.02,0.10,0.15
xz,misc.tar.csv,0.7,30,0.05,0.02,0.05
xz,silesia.tar.csv,0.7,30,0.02,2.62,5.41
xz,uiq-32.bin.csv,0.7,30,0.08,11.69,31.88
xz,uiq2-16.bin.csv,0.7,30,0.08,5.64,17.15
xz,uiq2-4.bin.csv,0.7,30,0.02,0.25,0.50
xz,uiq2-8.bin.csv,0.7,30,0.08,2.34,6.81
xz,vmlinux-5.10.tar.csv,0.7,30,0.02,0.16,0.25
z3,AUFNIRA_z3.637557.smt2.csv,0.7,30,0.00,0.29,0.56
z3,LRA_formula_277.smt2.csv,0.7,30,0.00,0.01,0.02
z3,QF_AUFBV_891_sqlite3.smt2.csv,0.7,30,0.03,0.36,0.92
z3,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2.csv,0.7,30,0.00,0.04,0.05
z3,QF_BV_bench_3176.smt2.csv,0.7,30,0.02,1.53,3.49
z3,QF_BV_bench_935.smt2.csv,0.7,30,0.02,1.03,2.35
z3,QF_LIA_tightrhombus.csv,0.7,30,0.01,0.01,0.02
z3,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2.csv,0.7,30,0.00,0.02,0.03
z3,QF_NRA_hong_9.smt2.csv,0.7,30,0.00,0.01,0.02
z3,QF_RDL_orb08_888.smt2.csv,0.7,30,0.00,0.04,0.05
z3,QF_UFLIA_xs_23_43.smt2.csv,0.7,30,0.01,0.18,0.35
z3,QF_UF_PEQ018_size6.smt2.csv,0.7,30,0.01,0.35,0.64
